/usr/local/lib/python3.11/dist-packages/dgl/heterograph.py:92: DGLWarning: Recommend creating graphs by `dgl.graph(data)` instead of `dgl.DGLGraph(data)`.
  dgl_warning(
Debug: Dataset computers train_idx: 2007, val_idx: 669, test_idx: 10705
Debug: Dataset computers train_idx: 10, val_idx: 10, test_idx: 10
Dataset: computers | #Nodes: 13381 | #Edges: 491556 | #Classes: 10 |#Features: 767
Exp 0/10
************************************
Start fitting model
************************************
Epoch 00061 | Loss(train) 1.3605 | Acc(train) 0.5232 | Acc(val) 0.6323 |
Epoch 00062 | Loss(train) 1.3294 | Acc(train) 0.5401 | Acc(val) 0.6562 |*
Epoch 00063 | Loss(train) 1.3349 | Acc(train) 0.5496 | Acc(val) 0.6577 |*
Epoch 00064 | Loss(train) 1.3163 | Acc(train) 0.5595 | Acc(val) 0.6532 |
Epoch 00065 | Loss(train) 1.3040 | Acc(train) 0.5346 | Acc(val) 0.6652 |*
Epoch 00066 | Loss(train) 1.3073 | Acc(train) 0.5491 | Acc(val) 0.6637 |
Epoch 00067 | Loss(train) 1.2641 | Acc(train) 0.5690 | Acc(val) 0.6532 |
Epoch 00068 | Loss(train) 1.2689 | Acc(train) 0.5556 | Acc(val) 0.6637 |
Epoch 00069 | Loss(train) 1.2663 | Acc(train) 0.5536 | Acc(val) 0.6726 |*
Epoch 00070 | Loss(train) 1.2450 | Acc(train) 0.5655 | Acc(val) 0.6786 |*
Epoch 00071 | Loss(train) 1.2555 | Acc(train) 0.5615 | Acc(val) 0.6756 |
Epoch 00072 | Loss(train) 1.2527 | Acc(train) 0.5630 | Acc(val) 0.6547 |
Epoch 00073 | Loss(train) 1.2458 | Acc(train) 0.5665 | Acc(val) 0.6637 |
Epoch 00074 | Loss(train) 1.2598 | Acc(train) 0.5775 | Acc(val) 0.6846 |*
Epoch 00075 | Loss(train) 1.2116 | Acc(train) 0.5695 | Acc(val) 0.6831 |
Epoch 00076 | Loss(train) 1.2277 | Acc(train) 0.5735 | Acc(val) 0.6831 |
Epoch 00077 | Loss(train) 1.2064 | Acc(train) 0.5825 | Acc(val) 0.6697 |
Epoch 00078 | Loss(train) 1.2278 | Acc(train) 0.5740 | Acc(val) 0.6801 |
Epoch 00079 | Loss(train) 1.2088 | Acc(train) 0.5715 | Acc(val) 0.6876 |*
Epoch 00080 | Loss(train) 1.2052 | Acc(train) 0.5810 | Acc(val) 0.6831 |
Epoch 00081 | Loss(train) 1.2061 | Acc(train) 0.5815 | Acc(val) 0.6756 |
Epoch 00082 | Loss(train) 1.1835 | Acc(train) 0.5939 | Acc(val) 0.6936 |*
Epoch 00083 | Loss(train) 1.1831 | Acc(train) 0.5790 | Acc(val) 0.6816 |
Epoch 00084 | Loss(train) 1.1755 | Acc(train) 0.5859 | Acc(val) 0.6726 |
Epoch 00085 | Loss(train) 1.1801 | Acc(train) 0.5820 | Acc(val) 0.6831 |
Epoch 00086 | Loss(train) 1.1597 | Acc(train) 0.5979 | Acc(val) 0.6816 |
Epoch 00087 | Loss(train) 1.1687 | Acc(train) 0.5884 | Acc(val) 0.6951 |*
Epoch 00088 | Loss(train) 1.1658 | Acc(train) 0.6014 | Acc(val) 0.6831 |
Epoch 00089 | Loss(train) 1.1630 | Acc(train) 0.5989 | Acc(val) 0.6891 |
Epoch 00090 | Loss(train) 1.1507 | Acc(train) 0.6114 | Acc(val) 0.6966 |*
Epoch 00091 | Loss(train) 1.3095 | Acc(train) 0.5675 | Acc(val) 0.6637 |
Epoch 00092 | Loss(train) 1.1745 | Acc(train) 0.5944 | Acc(val) 0.6726 |
Epoch 00093 | Loss(train) 1.1586 | Acc(train) 0.5999 | Acc(val) 0.6876 |
Epoch 00094 | Loss(train) 1.1413 | Acc(train) 0.5984 | Acc(val) 0.7040 |*
Epoch 00095 | Loss(train) 1.1345 | Acc(train) 0.6039 | Acc(val) 0.7040 |
Epoch 00096 | Loss(train) 1.1445 | Acc(train) 0.5924 | Acc(val) 0.6816 |
Epoch 00097 | Loss(train) 1.1107 | Acc(train) 0.6099 | Acc(val) 0.6726 |
Epoch 00098 | Loss(train) 1.1261 | Acc(train) 0.6094 | Acc(val) 0.6816 |
Epoch 00099 | Loss(train) 1.1122 | Acc(train) 0.6064 | Acc(val) 0.6966 |
Epoch 00100 | Loss(train) 1.1383 | Acc(train) 0.6173 | Acc(val) 0.6996 |
Epoch 00101 | Loss(train) 1.1344 | Acc(train) 0.6163 | Acc(val) 0.6936 |
Epoch 00102 | Loss(train) 1.0816 | Acc(train) 0.6223 | Acc(val) 0.6831 |
Epoch 00103 | Loss(train) 1.1082 | Acc(train) 0.6168 | Acc(val) 0.6771 |
Epoch 00104 | Loss(train) 1.1317 | Acc(train) 0.6163 | Acc(val) 0.6831 |
Epoch 00105 | Loss(train) 1.0962 | Acc(train) 0.6278 | Acc(val) 0.7100 |*
Epoch 00106 | Loss(train) 1.0919 | Acc(train) 0.6283 | Acc(val) 0.7384 |*
Epoch 00107 | Loss(train) 1.0773 | Acc(train) 0.6258 | Acc(val) 0.7235 |
Epoch 00108 | Loss(train) 1.0728 | Acc(train) 0.6318 | Acc(val) 0.6831 |
Epoch 00109 | Loss(train) 1.0762 | Acc(train) 0.6258 | Acc(val) 0.6831 |
Epoch 00110 | Loss(train) 1.0687 | Acc(train) 0.6278 | Acc(val) 0.6951 |
Epoch 00111 | Loss(train) 1.0718 | Acc(train) 0.6208 | Acc(val) 0.7175 |
Epoch 00112 | Loss(train) 1.0850 | Acc(train) 0.6139 | Acc(val) 0.7100 |
Epoch 00113 | Loss(train) 1.0712 | Acc(train) 0.6248 | Acc(val) 0.6921 |
Epoch 00114 | Loss(train) 1.0592 | Acc(train) 0.6313 | Acc(val) 0.6846 |
Epoch 00115 | Loss(train) 1.0643 | Acc(train) 0.6193 | Acc(val) 0.6921 |
Epoch 00116 | Loss(train) 1.0870 | Acc(train) 0.6328 | Acc(val) 0.6966 |
Epoch 00117 | Loss(train) 1.0307 | Acc(train) 0.6462 | Acc(val) 0.7010 |
Epoch 00118 | Loss(train) 1.0554 | Acc(train) 0.6363 | Acc(val) 0.6996 |
Epoch 00119 | Loss(train) 1.0819 | Acc(train) 0.6243 | Acc(val) 0.6876 |
