/usr/local/lib/python3.11/dist-packages/dgl/heterograph.py:92: DGLWarning: Recommend creating graphs by `dgl.graph(data)` instead of `dgl.DGLGraph(data)`.
  dgl_warning(
Debug: Dataset photo train_idx: 1123, val_idx: 374, test_idx: 5990
Debug: Dataset photo train_idx: 10, val_idx: 10, test_idx: 10
Dataset: photo | #Nodes: 7487 | #Edges: 238087 | #Classes: 8 |#Features: 745
Exp 0/10
************************************
Start fitting model
************************************
Epoch 00061 | Loss(train) 0.9816 | Acc(train) 0.6438 | Acc(val) 0.8289 |
Epoch 00062 | Loss(train) 1.0006 | Acc(train) 0.6492 | Acc(val) 0.8342 |*
Epoch 00063 | Loss(train) 0.9895 | Acc(train) 0.6527 | Acc(val) 0.8182 |
Epoch 00064 | Loss(train) 0.9795 | Acc(train) 0.6483 | Acc(val) 0.8369 |*
Epoch 00065 | Loss(train) 0.9546 | Acc(train) 0.6509 | Acc(val) 0.8369 |
Epoch 00066 | Loss(train) 0.9949 | Acc(train) 0.6483 | Acc(val) 0.8075 |
Epoch 00067 | Loss(train) 0.9291 | Acc(train) 0.6696 | Acc(val) 0.8021 |
Epoch 00068 | Loss(train) 0.9636 | Acc(train) 0.6679 | Acc(val) 0.8155 |
Epoch 00069 | Loss(train) 0.9716 | Acc(train) 0.6492 | Acc(val) 0.8449 |*
Epoch 00070 | Loss(train) 0.9852 | Acc(train) 0.6545 | Acc(val) 0.8476 |*
Epoch 00071 | Loss(train) 0.9136 | Acc(train) 0.6741 | Acc(val) 0.8289 |
Epoch 00072 | Loss(train) 1.0089 | Acc(train) 0.6474 | Acc(val) 0.8476 |
Epoch 00073 | Loss(train) 0.8852 | Acc(train) 0.6883 | Acc(val) 0.8476 |
Epoch 00074 | Loss(train) 0.8919 | Acc(train) 0.6937 | Acc(val) 0.8422 |
Epoch 00075 | Loss(train) 0.9177 | Acc(train) 0.6874 | Acc(val) 0.8422 |
Epoch 00076 | Loss(train) 0.8742 | Acc(train) 0.6955 | Acc(val) 0.8422 |
Epoch 00077 | Loss(train) 0.8860 | Acc(train) 0.6768 | Acc(val) 0.8449 |
Epoch 00078 | Loss(train) 0.9924 | Acc(train) 0.6545 | Acc(val) 0.8396 |
Epoch 00079 | Loss(train) 0.9371 | Acc(train) 0.6839 | Acc(val) 0.8422 |
Epoch 00080 | Loss(train) 0.8419 | Acc(train) 0.7142 | Acc(val) 0.8476 |
Epoch 00081 | Loss(train) 0.8212 | Acc(train) 0.6972 | Acc(val) 0.8476 |
Epoch 00082 | Loss(train) 0.8672 | Acc(train) 0.7008 | Acc(val) 0.8476 |
Epoch 00083 | Loss(train) 0.8566 | Acc(train) 0.7133 | Acc(val) 0.8503 |*
Epoch 00084 | Loss(train) 0.8503 | Acc(train) 0.7061 | Acc(val) 0.8289 |
Epoch 00085 | Loss(train) 0.8430 | Acc(train) 0.6910 | Acc(val) 0.8262 |
Epoch 00086 | Loss(train) 0.8617 | Acc(train) 0.7044 | Acc(val) 0.8610 |*
Epoch 00087 | Loss(train) 0.8343 | Acc(train) 0.6999 | Acc(val) 0.8610 |
Epoch 00088 | Loss(train) 0.8154 | Acc(train) 0.7106 | Acc(val) 0.8529 |
Epoch 00089 | Loss(train) 0.8672 | Acc(train) 0.7061 | Acc(val) 0.8128 |
Epoch 00090 | Loss(train) 0.9669 | Acc(train) 0.6741 | Acc(val) 0.8583 |
Epoch 00091 | Loss(train) 0.8309 | Acc(train) 0.7133 | Acc(val) 0.8690 |*
Epoch 00092 | Loss(train) 0.8590 | Acc(train) 0.6955 | Acc(val) 0.8369 |
Epoch 00093 | Loss(train) 0.8260 | Acc(train) 0.6999 | Acc(val) 0.8128 |
Epoch 00094 | Loss(train) 0.8638 | Acc(train) 0.6999 | Acc(val) 0.8422 |
Epoch 00095 | Loss(train) 0.8152 | Acc(train) 0.7142 | Acc(val) 0.8503 |
Epoch 00096 | Loss(train) 0.8373 | Acc(train) 0.6972 | Acc(val) 0.8476 |
Epoch 00097 | Loss(train) 0.8763 | Acc(train) 0.7213 | Acc(val) 0.8449 |
Epoch 00098 | Loss(train) 0.7877 | Acc(train) 0.7373 | Acc(val) 0.8369 |
Epoch 00099 | Loss(train) 0.8323 | Acc(train) 0.6981 | Acc(val) 0.8342 |
Epoch 00100 | Loss(train) 0.8122 | Acc(train) 0.7231 | Acc(val) 0.8476 |
Epoch 00101 | Loss(train) 0.7764 | Acc(train) 0.7400 | Acc(val) 0.8743 |*
Epoch 00102 | Loss(train) 0.8281 | Acc(train) 0.7026 | Acc(val) 0.8503 |
Epoch 00103 | Loss(train) 0.8116 | Acc(train) 0.7266 | Acc(val) 0.8449 |
Epoch 00104 | Loss(train) 0.7556 | Acc(train) 0.7382 | Acc(val) 0.8476 |
Epoch 00105 | Loss(train) 0.8275 | Acc(train) 0.7231 | Acc(val) 0.8529 |
Epoch 00106 | Loss(train) 0.8165 | Acc(train) 0.7133 | Acc(val) 0.8636 |
Epoch 00107 | Loss(train) 0.8372 | Acc(train) 0.7159 | Acc(val) 0.8503 |
Epoch 00108 | Loss(train) 0.7833 | Acc(train) 0.7266 | Acc(val) 0.8529 |
Epoch 00109 | Loss(train) 0.7763 | Acc(train) 0.7355 | Acc(val) 0.8663 |
Epoch 00110 | Loss(train) 0.7660 | Acc(train) 0.7293 | Acc(val) 0.8636 |
Epoch 00111 | Loss(train) 0.7584 | Acc(train) 0.7284 | Acc(val) 0.8556 |
Epoch 00112 | Loss(train) 0.7812 | Acc(train) 0.7453 | Acc(val) 0.8503 |
Epoch 00113 | Loss(train) 0.8015 | Acc(train) 0.7168 | Acc(val) 0.8556 |
Epoch 00114 | Loss(train) 0.7400 | Acc(train) 0.7355 | Acc(val) 0.8770 |*
