  NumNodes: 19717
  NumEdges: 88651
  NumFeats: 500
  NumClasses: 3
  NumTrainingSamples: 60
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Dataset: pubmed | #Nodes: 19717 | #Edges: 108365 | #Classes: 3 |#Features: 500
Exp 0/10
************************************
Start fitting model
************************************
Epoch 00062 | Loss(train) 0.8334 | Acc(train) 0.6385 | Acc(val) 0.6846 |
Epoch 00063 | Loss(train) 0.8190 | Acc(train) 0.6436 | Acc(val) 0.6937 |*
Epoch 00064 | Loss(train) 0.8187 | Acc(train) 0.6449 | Acc(val) 0.6927 |
Epoch 00065 | Loss(train) 0.8125 | Acc(train) 0.6429 | Acc(val) 0.6968 |*
Epoch 00066 | Loss(train) 0.7995 | Acc(train) 0.6530 | Acc(val) 0.6988 |*
Epoch 00067 | Loss(train) 0.7993 | Acc(train) 0.6524 | Acc(val) 0.6988 |
Epoch 00068 | Loss(train) 0.7903 | Acc(train) 0.6588 | Acc(val) 0.6968 |
Epoch 00069 | Loss(train) 0.7747 | Acc(train) 0.6676 | Acc(val) 0.6998 |*
Epoch 00070 | Loss(train) 0.7817 | Acc(train) 0.6638 | Acc(val) 0.6927 |
Epoch 00071 | Loss(train) 0.7745 | Acc(train) 0.6625 | Acc(val) 0.6998 |
Epoch 00072 | Loss(train) 0.7456 | Acc(train) 0.6686 | Acc(val) 0.6988 |
Epoch 00073 | Loss(train) 0.7546 | Acc(train) 0.6733 | Acc(val) 0.6957 |
Epoch 00074 | Loss(train) 0.7503 | Acc(train) 0.6676 | Acc(val) 0.7039 |*
Epoch 00075 | Loss(train) 0.7387 | Acc(train) 0.6733 | Acc(val) 0.7028 |
Epoch 00076 | Loss(train) 0.7295 | Acc(train) 0.6791 | Acc(val) 0.6998 |
Epoch 00077 | Loss(train) 0.7316 | Acc(train) 0.6797 | Acc(val) 0.7018 |
Epoch 00078 | Loss(train) 0.7288 | Acc(train) 0.6750 | Acc(val) 0.7069 |*
Epoch 00079 | Loss(train) 0.7410 | Acc(train) 0.6784 | Acc(val) 0.7059 |
Epoch 00080 | Loss(train) 0.7158 | Acc(train) 0.6828 | Acc(val) 0.7008 |
Epoch 00081 | Loss(train) 0.7081 | Acc(train) 0.6777 | Acc(val) 0.7018 |
Epoch 00082 | Loss(train) 0.7216 | Acc(train) 0.6841 | Acc(val) 0.7028 |
Epoch 00083 | Loss(train) 0.7045 | Acc(train) 0.6868 | Acc(val) 0.7049 |
Epoch 00084 | Loss(train) 0.7039 | Acc(train) 0.6868 | Acc(val) 0.7008 |
Epoch 00085 | Loss(train) 0.6980 | Acc(train) 0.6896 | Acc(val) 0.6998 |
Epoch 00086 | Loss(train) 0.6914 | Acc(train) 0.6899 | Acc(val) 0.7059 |
Epoch 00087 | Loss(train) 0.6796 | Acc(train) 0.7000 | Acc(val) 0.7028 |
Epoch 00088 | Loss(train) 0.7065 | Acc(train) 0.6916 | Acc(val) 0.7049 |
Epoch 00089 | Loss(train) 0.6828 | Acc(train) 0.7044 | Acc(val) 0.7231 |*
Epoch 00090 | Loss(train) 0.6930 | Acc(train) 0.7136 | Acc(val) 0.7809 |*
Epoch 00091 | Loss(train) 0.6838 | Acc(train) 0.7325 | Acc(val) 0.7951 |*
Epoch 00092 | Loss(train) 0.6873 | Acc(train) 0.7295 | Acc(val) 0.8022 |*
Epoch 00093 | Loss(train) 0.6994 | Acc(train) 0.7366 | Acc(val) 0.8073 |*
Epoch 00094 | Loss(train) 0.6808 | Acc(train) 0.7345 | Acc(val) 0.8134 |*
Epoch 00095 | Loss(train) 0.6904 | Acc(train) 0.7579 | Acc(val) 0.8134 |
Epoch 00096 | Loss(train) 0.6860 | Acc(train) 0.7531 | Acc(val) 0.8063 |
Epoch 00097 | Loss(train) 0.6847 | Acc(train) 0.7521 | Acc(val) 0.8154 |*
Epoch 00098 | Loss(train) 0.6668 | Acc(train) 0.7754 | Acc(val) 0.8185 |*
Epoch 00099 | Loss(train) 0.6853 | Acc(train) 0.7538 | Acc(val) 0.8205 |*
Epoch 00100 | Loss(train) 0.6681 | Acc(train) 0.7528 | Acc(val) 0.8134 |
Epoch 00101 | Loss(train) 0.6862 | Acc(train) 0.7619 | Acc(val) 0.8256 |*
Epoch 00102 | Loss(train) 0.6978 | Acc(train) 0.7731 | Acc(val) 0.8235 |
Epoch 00103 | Loss(train) 0.6944 | Acc(train) 0.7663 | Acc(val) 0.8266 |*
Epoch 00104 | Loss(train) 0.6835 | Acc(train) 0.7738 | Acc(val) 0.8306 |*
Epoch 00105 | Loss(train) 0.6780 | Acc(train) 0.7738 | Acc(val) 0.8286 |
Epoch 00106 | Loss(train) 0.6761 | Acc(train) 0.7744 | Acc(val) 0.8296 |
Epoch 00107 | Loss(train) 0.6632 | Acc(train) 0.7768 | Acc(val) 0.8215 |
Epoch 00108 | Loss(train) 0.6927 | Acc(train) 0.7548 | Acc(val) 0.8276 |
Epoch 00109 | Loss(train) 0.6582 | Acc(train) 0.7714 | Acc(val) 0.8225 |
Epoch 00110 | Loss(train) 0.6865 | Acc(train) 0.7555 | Acc(val) 0.8286 |
Epoch 00111 | Loss(train) 0.6692 | Acc(train) 0.7663 | Acc(val) 0.8266 |
Epoch 00112 | Loss(train) 0.6633 | Acc(train) 0.7687 | Acc(val) 0.8286 |
Epoch 00113 | Loss(train) 0.6717 | Acc(train) 0.7697 | Acc(val) 0.8245 |
Epoch 00114 | Loss(train) 0.6564 | Acc(train) 0.7849 | Acc(val) 0.8316 |*
Epoch 00115 | Loss(train) 0.6687 | Acc(train) 0.7731 | Acc(val) 0.8347 |*
Epoch 00116 | Loss(train) 0.6530 | Acc(train) 0.7663 | Acc(val) 0.8316 |
Epoch 00117 | Loss(train) 0.6530 | Acc(train) 0.7802 | Acc(val) 0.8316 |
Epoch 00118 | Loss(train) 0.6683 | Acc(train) 0.7768 | Acc(val) 0.8296 |
Epoch 00119 | Loss(train) 0.6624 | Acc(train) 0.7819 | Acc(val) 0.8306 |
Epoch 00120 | Loss(train) 0.6708 | Acc(train) 0.7751 | Acc(val) 0.8306 |
Epoch 00121 | Loss(train) 0.6489 | Acc(train) 0.7853 | Acc(val) 0.8347 |
Epoch 00122 | Loss(train) 0.6682 | Acc(train) 0.7751 | Acc(val) 0.8347 |
Epoch 00123 | Loss(train) 0.6638 | Acc(train) 0.7734 | Acc(val) 0.8347 |
Epoch 00124 | Loss(train) 0.6705 | Acc(train) 0.7782 | Acc(val) 0.8357 |*
Epoch 00125 | Loss(train) 0.6557 | Acc(train) 0.7771 | Acc(val) 0.8357 |
Epoch 00126 | Loss(train) 0.6677 | Acc(train) 0.7731 | Acc(val) 0.8357 |
Epoch 00127 | Loss(train) 0.6662 | Acc(train) 0.7836 | Acc(val) 0.8387 |*
Epoch 00128 | Loss(train) 0.6519 | Acc(train) 0.7944 | Acc(val) 0.8387 |
Epoch 00129 | Loss(train) 0.6496 | Acc(train) 0.7863 | Acc(val) 0.8347 |
Epoch 00130 | Loss(train) 0.6518 | Acc(train) 0.7805 | Acc(val) 0.8357 |
Epoch 00131 | Loss(train) 0.6653 | Acc(train) 0.7782 | Acc(val) 0.8347 |
Epoch 00132 | Loss(train) 0.6553 | Acc(train) 0.7805 | Acc(val) 0.8357 |
Epoch 00133 | Loss(train) 0.6478 | Acc(train) 0.7785 | Acc(val) 0.8337 |
Epoch 00134 | Loss(train) 0.6321 | Acc(train) 0.7968 | Acc(val) 0.8327 |
Epoch 00135 | Loss(train) 0.6495 | Acc(train) 0.7788 | Acc(val) 0.8327 |
Epoch 00136 | Loss(train) 0.6633 | Acc(train) 0.7775 | Acc(val) 0.8367 |
Epoch 00137 | Loss(train) 0.6460 | Acc(train) 0.7839 | Acc(val) 0.8448 |*
Epoch 00138 | Loss(train) 0.6599 | Acc(train) 0.7957 | Acc(val) 0.8387 |
Epoch 00139 | Loss(train) 0.6511 | Acc(train) 0.7964 | Acc(val) 0.8377 |
Epoch 00140 | Loss(train) 0.6368 | Acc(train) 0.7853 | Acc(val) 0.8387 |
Epoch 00141 | Loss(train) 0.6541 | Acc(train) 0.7815 | Acc(val) 0.8387 |
Epoch 00142 | Loss(train) 0.6544 | Acc(train) 0.7842 | Acc(val) 0.8398 |
Epoch 00143 | Loss(train) 0.6425 | Acc(train) 0.7853 | Acc(val) 0.8408 |
Epoch 00144 | Loss(train) 0.6475 | Acc(train) 0.7920 | Acc(val) 0.8377 |
Epoch 00145 | Loss(train) 0.6276 | Acc(train) 0.7869 | Acc(val) 0.8337 |
Epoch 00146 | Loss(train) 0.6383 | Acc(train) 0.7937 | Acc(val) 0.8357 |
Epoch 00147 | Loss(train) 0.6470 | Acc(train) 0.7788 | Acc(val) 0.8418 |
Epoch 00148 | Loss(train) 0.6389 | Acc(train) 0.7839 | Acc(val) 0.8347 |
Epoch 00149 | Loss(train) 0.6434 | Acc(train) 0.7890 | Acc(val) 0.8418 |
Epoch 00150 | Loss(train) 0.6373 | Acc(train) 0.7853 | Acc(val) 0.8448 |
Epoch 00151 | Loss(train) 0.6471 | Acc(train) 0.7853 | Acc(val) 0.8469 |*
Epoch 00152 | Loss(train) 0.6405 | Acc(train) 0.7913 | Acc(val) 0.8469 |
Epoch 00153 | Loss(train) 0.6332 | Acc(train) 0.7900 | Acc(val) 0.8479 |*
Epoch 00154 | Loss(train) 0.6412 | Acc(train) 0.7846 | Acc(val) 0.8458 |
Epoch 00155 | Loss(train) 0.6274 | Acc(train) 0.7880 | Acc(val) 0.8458 |
Epoch 00156 | Loss(train) 0.6418 | Acc(train) 0.7866 | Acc(val) 0.8438 |
Epoch 00157 | Loss(train) 0.6262 | Acc(train) 0.7917 | Acc(val) 0.8438 |
Epoch 00158 | Loss(train) 0.6300 | Acc(train) 0.7839 | Acc(val) 0.8489 |*
Epoch 00159 | Loss(train) 0.6249 | Acc(train) 0.7984 | Acc(val) 0.8458 |
