  NumNodes: 3327
  NumEdges: 9228
  NumFeats: 3703
  NumClasses: 6
  NumTrainingSamples: 120
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Dataset: citeseer | #Nodes: 3327 | #Edges: 12431 | #Classes: 6 |#Features: 3703
Exp 0/10
************************************
Start fitting model
************************************
Epoch 00062 | Loss(train) 1.6112 | Acc(train) 0.3327 | Acc(val) 0.2952 |
Epoch 00063 | Loss(train) 1.6151 | Acc(train) 0.3006 | Acc(val) 0.3253 |
Epoch 00064 | Loss(train) 1.6114 | Acc(train) 0.3327 | Acc(val) 0.3554 |
Epoch 00065 | Loss(train) 1.5969 | Acc(train) 0.3607 | Acc(val) 0.4036 |*
Epoch 00066 | Loss(train) 1.5804 | Acc(train) 0.3808 | Acc(val) 0.4096 |*
Epoch 00067 | Loss(train) 1.5963 | Acc(train) 0.3387 | Acc(val) 0.4277 |*
Epoch 00068 | Loss(train) 1.5553 | Acc(train) 0.3727 | Acc(val) 0.4458 |*
Epoch 00069 | Loss(train) 1.5808 | Acc(train) 0.3888 | Acc(val) 0.4578 |*
Epoch 00070 | Loss(train) 1.5585 | Acc(train) 0.3908 | Acc(val) 0.4639 |*
Epoch 00071 | Loss(train) 1.5465 | Acc(train) 0.3828 | Acc(val) 0.4699 |*
Epoch 00072 | Loss(train) 1.5417 | Acc(train) 0.3968 | Acc(val) 0.4759 |*
Epoch 00073 | Loss(train) 1.5244 | Acc(train) 0.4429 | Acc(val) 0.4819 |*
Epoch 00074 | Loss(train) 1.5936 | Acc(train) 0.4088 | Acc(val) 0.5000 |*
Epoch 00075 | Loss(train) 1.5167 | Acc(train) 0.4228 | Acc(val) 0.5060 |*
Epoch 00076 | Loss(train) 1.5221 | Acc(train) 0.4269 | Acc(val) 0.5120 |*
Epoch 00077 | Loss(train) 1.4993 | Acc(train) 0.4108 | Acc(val) 0.5181 |*
Epoch 00078 | Loss(train) 1.5095 | Acc(train) 0.4068 | Acc(val) 0.5120 |
Epoch 00079 | Loss(train) 1.4916 | Acc(train) 0.3908 | Acc(val) 0.5120 |
