  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Dataset: cora | #Nodes: 2708 | #Edges: 13264 | #Classes: 7 |#Features: 1433
Exp 0/10
************************************
Start fitting model
************************************
Epoch 00062 | Loss(train) 1.6641 | Acc(train) 0.3103 | Acc(val) 0.3259 |*
Epoch 00063 | Loss(train) 1.6610 | Acc(train) 0.3325 | Acc(val) 0.3407 |*
Epoch 00064 | Loss(train) 1.6380 | Acc(train) 0.3177 | Acc(val) 0.4000 |*
Epoch 00065 | Loss(train) 1.6028 | Acc(train) 0.3374 | Acc(val) 0.4148 |*
Epoch 00066 | Loss(train) 1.6134 | Acc(train) 0.3498 | Acc(val) 0.4000 |
Epoch 00067 | Loss(train) 1.6155 | Acc(train) 0.3448 | Acc(val) 0.3778 |
Epoch 00068 | Loss(train) 1.5911 | Acc(train) 0.3596 | Acc(val) 0.3704 |
Epoch 00069 | Loss(train) 1.5845 | Acc(train) 0.3645 | Acc(val) 0.3778 |
Epoch 00070 | Loss(train) 1.5953 | Acc(train) 0.3596 | Acc(val) 0.3778 |
Epoch 00071 | Loss(train) 1.5449 | Acc(train) 0.3571 | Acc(val) 0.3778 |
Epoch 00072 | Loss(train) 1.5408 | Acc(train) 0.3645 | Acc(val) 0.3778 |
Epoch 00073 | Loss(train) 1.5673 | Acc(train) 0.3621 | Acc(val) 0.3778 |
Epoch 00074 | Loss(train) 1.5120 | Acc(train) 0.3842 | Acc(val) 0.3778 |
Epoch 00075 | Loss(train) 1.5344 | Acc(train) 0.3473 | Acc(val) 0.3778 |
Epoch 00076 | Loss(train) 1.5274 | Acc(train) 0.3571 | Acc(val) 0.3778 |
Epoch 00077 | Loss(train) 1.5277 | Acc(train) 0.3596 | Acc(val) 0.3778 |
Epoch 00078 | Loss(train) 1.4972 | Acc(train) 0.3892 | Acc(val) 0.3778 |
Epoch 00079 | Loss(train) 1.5233 | Acc(train) 0.3768 | Acc(val) 0.3630 |
Epoch 00080 | Loss(train) 1.6254 | Acc(train) 0.3842 | Acc(val) 0.3630 |
Epoch 00081 | Loss(train) 1.5103 | Acc(train) 0.3818 | Acc(val) 0.3778 |
Epoch 00082 | Loss(train) 1.4975 | Acc(train) 0.3818 | Acc(val) 0.3778 |
Epoch 00083 | Loss(train) 1.4544 | Acc(train) 0.3941 | Acc(val) 0.3852 |
Epoch 00084 | Loss(train) 1.5310 | Acc(train) 0.3867 | Acc(val) 0.3630 |
Epoch 00085 | Loss(train) 1.5137 | Acc(train) 0.3842 | Acc(val) 0.3556 |
Epoch 00086 | Loss(train) 1.5066 | Acc(train) 0.3793 | Acc(val) 0.3778 |
Epoch 00087 | Loss(train) 1.5040 | Acc(train) 0.3990 | Acc(val) 0.3778 |
Epoch 00088 | Loss(train) 1.4656 | Acc(train) 0.4064 | Acc(val) 0.3778 |
Epoch 00089 | Loss(train) 1.4916 | Acc(train) 0.3966 | Acc(val) 0.3630 |
Epoch 00090 | Loss(train) 1.4400 | Acc(train) 0.4113 | Acc(val) 0.3630 |
Epoch 00091 | Loss(train) 1.5133 | Acc(train) 0.4039 | Acc(val) 0.3778 |
Epoch 00092 | Loss(train) 1.4709 | Acc(train) 0.3867 | Acc(val) 0.3852 |
Epoch 00093 | Loss(train) 1.5044 | Acc(train) 0.4089 | Acc(val) 0.3852 |
Epoch 00094 | Loss(train) 1.4496 | Acc(train) 0.4064 | Acc(val) 0.3926 |
Epoch 00095 | Loss(train) 1.4821 | Acc(train) 0.3966 | Acc(val) 0.3852 |
Epoch 00096 | Loss(train) 1.4364 | Acc(train) 0.4187 | Acc(val) 0.3778 |
Epoch 00097 | Loss(train) 1.4439 | Acc(train) 0.4187 | Acc(val) 0.3704 |
Epoch 00098 | Loss(train) 1.4636 | Acc(train) 0.4064 | Acc(val) 0.3852 |
Epoch 00099 | Loss(train) 1.4219 | Acc(train) 0.4064 | Acc(val) 0.3778 |
Epoch 00100 | Loss(train) 1.4419 | Acc(train) 0.3892 | Acc(val) 0.3778 |
Epoch 00101 | Loss(train) 1.4765 | Acc(train) 0.4015 | Acc(val) 0.3852 |
Epoch 00102 | Loss(train) 1.4560 | Acc(train) 0.4015 | Acc(val) 0.3481 |
Epoch 00103 | Loss(train) 1.4487 | Acc(train) 0.3793 | Acc(val) 0.3481 |
Epoch 00104 | Loss(train) 1.4505 | Acc(train) 0.3966 | Acc(val) 0.3778 |
Epoch 00105 | Loss(train) 1.4467 | Acc(train) 0.4064 | Acc(val) 0.3852 |
Epoch 00106 | Loss(train) 1.4344 | Acc(train) 0.4064 | Acc(val) 0.3778 |
Epoch 00107 | Loss(train) 1.4479 | Acc(train) 0.4015 | Acc(val) 0.3778 |
Epoch 00108 | Loss(train) 1.4295 | Acc(train) 0.4015 | Acc(val) 0.3778 |
Epoch 00109 | Loss(train) 1.4149 | Acc(train) 0.4113 | Acc(val) 0.3704 |
Epoch 00110 | Loss(train) 1.4380 | Acc(train) 0.4015 | Acc(val) 0.3481 |
Epoch 00111 | Loss(train) 1.4473 | Acc(train) 0.4187 | Acc(val) 0.3926 |
Epoch 00112 | Loss(train) 1.4473 | Acc(train) 0.4064 | Acc(val) 0.4074 |
Epoch 00113 | Loss(train) 1.4364 | Acc(train) 0.3842 | Acc(val) 0.3926 |
Epoch 00114 | Loss(train) 1.4378 | Acc(train) 0.3966 | Acc(val) 0.4074 |
Epoch 00115 | Loss(train) 1.4288 | Acc(train) 0.4187 | Acc(val) 0.3852 |
Epoch 00116 | Loss(train) 1.4438 | Acc(train) 0.4310 | Acc(val) 0.4148 |
Epoch 00117 | Loss(train) 1.4470 | Acc(train) 0.4310 | Acc(val) 0.3926 |
Epoch 00118 | Loss(train) 1.3948 | Acc(train) 0.4335 | Acc(val) 0.4074 |
Epoch 00119 | Loss(train) 1.4049 | Acc(train) 0.4335 | Acc(val) 0.4074 |
Epoch 00120 | Loss(train) 1.4441 | Acc(train) 0.3941 | Acc(val) 0.4074 |
Epoch 00121 | Loss(train) 1.4225 | Acc(train) 0.4212 | Acc(val) 0.4000 |
Epoch 00122 | Loss(train) 1.4252 | Acc(train) 0.3990 | Acc(val) 0.4000 |
Epoch 00123 | Loss(train) 1.3789 | Acc(train) 0.4212 | Acc(val) 0.3926 |
Epoch 00124 | Loss(train) 1.4183 | Acc(train) 0.4212 | Acc(val) 0.3926 |
Epoch 00125 | Loss(train) 1.4106 | Acc(train) 0.4138 | Acc(val) 0.4000 |
Epoch 00126 | Loss(train) 1.4272 | Acc(train) 0.4064 | Acc(val) 0.4000 |
Epoch 00127 | Loss(train) 1.4032 | Acc(train) 0.4163 | Acc(val) 0.3926 |
Epoch 00128 | Loss(train) 1.4512 | Acc(train) 0.4039 | Acc(val) 0.4000 |
Epoch 00129 | Loss(train) 1.3915 | Acc(train) 0.4138 | Acc(val) 0.3926 |
Epoch 00130 | Loss(train) 1.4159 | Acc(train) 0.3892 | Acc(val) 0.3926 |
Epoch 00131 | Loss(train) 1.3804 | Acc(train) 0.3941 | Acc(val) 0.4000 |
Epoch 00132 | Loss(train) 1.4086 | Acc(train) 0.4138 | Acc(val) 0.4000 |
Epoch 00133 | Loss(train) 1.4253 | Acc(train) 0.4064 | Acc(val) 0.4000 |
Epoch 00134 | Loss(train) 1.3967 | Acc(train) 0.4163 | Acc(val) 0.4000 |
Epoch 00135 | Loss(train) 1.3886 | Acc(train) 0.3793 | Acc(val) 0.3926 |
Epoch 00136 | Loss(train) 1.4015 | Acc(train) 0.4236 | Acc(val) 0.3852 |
Epoch 00137 | Loss(train) 1.4007 | Acc(train) 0.4089 | Acc(val) 0.3852 |
Epoch 00138 | Loss(train) 1.3955 | Acc(train) 0.3966 | Acc(val) 0.3926 |
Epoch 00139 | Loss(train) 1.3818 | Acc(train) 0.4236 | Acc(val) 0.3852 |
Epoch 00140 | Loss(train) 1.4017 | Acc(train) 0.4064 | Acc(val) 0.3852 |
Epoch 00141 | Loss(train) 1.3880 | Acc(train) 0.4039 | Acc(val) 0.3852 |
Epoch 00142 | Loss(train) 1.4097 | Acc(train) 0.4089 | Acc(val) 0.3926 |
Epoch 00143 | Loss(train) 1.3935 | Acc(train) 0.4310 | Acc(val) 0.3926 |
Epoch 00144 | Loss(train) 1.3678 | Acc(train) 0.4113 | Acc(val) 0.4074 |
Epoch 00145 | Loss(train) 1.3834 | Acc(train) 0.4163 | Acc(val) 0.4074 |
Epoch 00146 | Loss(train) 1.4059 | Acc(train) 0.4163 | Acc(val) 0.4148 |
Epoch 00147 | Loss(train) 1.3820 | Acc(train) 0.4236 | Acc(val) 0.4074 |
Epoch 00148 | Loss(train) 1.4106 | Acc(train) 0.3990 | Acc(val) 0.4000 |
Epoch 00149 | Loss(train) 1.3826 | Acc(train) 0.4433 | Acc(val) 0.4074 |
Epoch 00150 | Loss(train) 1.3646 | Acc(train) 0.4458 | Acc(val) 0.4074 |
Epoch 00151 | Loss(train) 1.3633 | Acc(train) 0.4212 | Acc(val) 0.4148 |
Epoch 00152 | Loss(train) 1.4036 | Acc(train) 0.4286 | Acc(val) 0.4148 |
Epoch 00153 | Loss(train) 1.4153 | Acc(train) 0.4015 | Acc(val) 0.4222 |*
Epoch 00154 | Loss(train) 1.4082 | Acc(train) 0.3966 | Acc(val) 0.4074 |
Epoch 00155 | Loss(train) 1.3568 | Acc(train) 0.4163 | Acc(val) 0.4148 |
Epoch 00156 | Loss(train) 1.3838 | Acc(train) 0.4113 | Acc(val) 0.4074 |
Epoch 00157 | Loss(train) 1.3528 | Acc(train) 0.4187 | Acc(val) 0.4222 |
Epoch 00158 | Loss(train) 1.4188 | Acc(train) 0.3867 | Acc(val) 0.4148 |
Epoch 00159 | Loss(train) 1.3916 | Acc(train) 0.3916 | Acc(val) 0.4074 |
Epoch 00160 | Loss(train) 1.3857 | Acc(train) 0.4064 | Acc(val) 0.4000 |
Epoch 00161 | Loss(train) 1.4021 | Acc(train) 0.4089 | Acc(val) 0.4000 |
Epoch 00162 | Loss(train) 1.3401 | Acc(train) 0.4212 | Acc(val) 0.4000 |
Epoch 00163 | Loss(train) 1.4129 | Acc(train) 0.4138 | Acc(val) 0.4222 |
Epoch 00164 | Loss(train) 1.3638 | Acc(train) 0.4113 | Acc(val) 0.4370 |*
Epoch 00165 | Loss(train) 1.4046 | Acc(train) 0.4015 | Acc(val) 0.4370 |
Epoch 00166 | Loss(train) 1.4163 | Acc(train) 0.4261 | Acc(val) 0.4222 |
Epoch 00167 | Loss(train) 1.3568 | Acc(train) 0.4187 | Acc(val) 0.3852 |
Epoch 00168 | Loss(train) 1.4190 | Acc(train) 0.4187 | Acc(val) 0.4000 |
Epoch 00169 | Loss(train) 1.3629 | Acc(train) 0.4286 | Acc(val) 0.4296 |
Epoch 00170 | Loss(train) 1.3820 | Acc(train) 0.4286 | Acc(val) 0.4444 |*
Epoch 00171 | Loss(train) 1.3763 | Acc(train) 0.4261 | Acc(val) 0.4296 |
Epoch 00172 | Loss(train) 1.3801 | Acc(train) 0.4261 | Acc(val) 0.4444 |
Epoch 00173 | Loss(train) 1.4067 | Acc(train) 0.4286 | Acc(val) 0.4148 |
Epoch 00174 | Loss(train) 1.3340 | Acc(train) 0.4655 | Acc(val) 0.3778 |
Epoch 00175 | Loss(train) 1.3857 | Acc(train) 0.4409 | Acc(val) 0.3852 |
Epoch 00176 | Loss(train) 1.3275 | Acc(train) 0.4163 | Acc(val) 0.4148 |
Epoch 00177 | Loss(train) 1.3559 | Acc(train) 0.4187 | Acc(val) 0.4148 |
Epoch 00178 | Loss(train) 1.3646 | Acc(train) 0.4261 | Acc(val) 0.4074 |
Epoch 00179 | Loss(train) 1.3549 | Acc(train) 0.4286 | Acc(val) 0.4148 |
Epoch 00180 | Loss(train) 1.3588 | Acc(train) 0.4335 | Acc(val) 0.4296 |
Epoch 00181 | Loss(train) 1.3783 | Acc(train) 0.4187 | Acc(val) 0.4296 |
Epoch 00182 | Loss(train) 1.3577 | Acc(train) 0.4261 | Acc(val) 0.4000 |
Epoch 00183 | Loss(train) 1.3165 | Acc(train) 0.4236 | Acc(val) 0.3852 |
Epoch 00184 | Loss(train) 1.3621 | Acc(train) 0.4212 | Acc(val) 0.3778 |
Epoch 00185 | Loss(train) 1.3642 | Acc(train) 0.4163 | Acc(val) 0.4148 |
Epoch 00186 | Loss(train) 1.3289 | Acc(train) 0.4458 | Acc(val) 0.4296 |
Epoch 00187 | Loss(train) 1.3499 | Acc(train) 0.4360 | Acc(val) 0.4222 |
Epoch 00188 | Loss(train) 1.3962 | Acc(train) 0.4039 | Acc(val) 0.4296 |
Epoch 00189 | Loss(train) 1.3643 | Acc(train) 0.4433 | Acc(val) 0.4370 |
Epoch 00190 | Loss(train) 1.3255 | Acc(train) 0.4286 | Acc(val) 0.3926 |
Epoch 00191 | Loss(train) 1.3526 | Acc(train) 0.4458 | Acc(val) 0.4000 |
Epoch 00192 | Loss(train) 1.3389 | Acc(train) 0.3941 | Acc(val) 0.4148 |
Epoch 00193 | Loss(train) 1.3488 | Acc(train) 0.4581 | Acc(val) 0.4222 |
Epoch 00194 | Loss(train) 1.3116 | Acc(train) 0.4458 | Acc(val) 0.4222 |
Epoch 00195 | Loss(train) 1.3497 | Acc(train) 0.4064 | Acc(val) 0.4222 |
Epoch 00196 | Loss(train) 1.3351 | Acc(train) 0.4384 | Acc(val) 0.4148 |
Epoch 00197 | Loss(train) 1.3033 | Acc(train) 0.4606 | Acc(val) 0.4074 |
Epoch 00198 | Loss(train) 1.3550 | Acc(train) 0.4187 | Acc(val) 0.4222 |
Epoch 00199 | Loss(train) 1.3124 | Acc(train) 0.4212 | Acc(val) 0.4222 |
Epoch 00200 | Loss(train) 1.3055 | Acc(train) 0.4409 | Acc(val) 0.4370 |
************************************
